input_Timepoint (hr),output_OD600,output_WCW_gl,output_agitation,output_air_%,output_D0_%,output_gasflow,output_O2,output_Ph,output_feed_%,output_feed,output_Temp,output_glycerol_gl,output_glucose_gl,output_acetate_mmol_l,output_phosphate_mmol_l
8.0,7.54,55.38,1185.28894042969,100.0,55.6220893859863,5.00000095367432,0.0,6.22612380981445,0.0,0.0,30.01,5.204000000000003,0.14785339999999997,11.421700000000001,31.044800000000023
9.75,14.3,52.0000000000002,1185.02600097656,100.0,52.1623382568359,5.00000095367432,0.0,6.26027297973633,0.0,0.0,29.97,1.3098999999999998,0.0,12.14,30.01
12.0,25.7,73.5,1184.75903320312,100.0,49.1417198181152,5.00000095367432,0.0,6.22305107116699,10.89,0.37026,30.01,0.0009,0.0,0.45,25.47
14.0,37.1,104.5,1184.73400878906,94.5497665405273,37.1124382019043,5.17554187774658,5.45249891281128,6.25719976425171,16.39,0.55726,30.01,0.002800000000000001,0.0,0.44,19.09
16.0,44.0,130.0,1185.34802246094,80.6040267944336,37.2987403869629,2.31953406333923,19.3988609313965,6.33096218109131,24.39,0.82926,29.99,0.007000000000000004,2.74916,1.76,15.53
18.0,47.4,155.5,1185.50500488281,84.2769470214844,40.931468963623,2.95490503311157,15.7214202880859,6.51980590820312,17.9,0.6086,30.0,0.0012999999999999997,0.0,0.87,8.21
20.0,52.0,150.5,1185.25695800781,88.8878173828125,37.817699432373,5.00000381469727,11.114800453186,6.19675588607788,17.9,0.6086,30.0,0.12859999999999996,0.0,0.54,3.56
22.0,54.3,162.5,1185.28503417969,85.1463928222656,36.1543617248535,5.01999092102051,14.8570899963379,6.25515079498291,17.9,0.6086,30.0,0.003400000000000002,0.0,0.44,0.45
24.0,58.0,166.5,1184.89794921875,79.2256164550781,37.9374618530273,5.06182909011841,20.7769908905029,6.2080249786377,17.9,0.6086,30.0,0.04059999999999999,0.0,0.61,0.0
28.0,56.0,158.0,1184.75598144531,92.1765289306641,40.0,5.00415277481079,7.82335710525513,6.24767208099365,17.9,0.6086,26.02,0.02189999999999996,7.91147,0.73,0.09
